school,lat,lng,PPG,APG,RPG,SPG,BPG,TPG,FGP,3PG
Gonzaga,47.6670321,-117.4014343,8.53,1.39,4.81,0.49,0.43,1.02,0.49,0.28
Hofstra,40.7166872,-73.5993965,4.75,1.75,1.25,0.5,0,0.75,0.35,0.2
Holy Cross,42.2392391,-71.8079608,2.04,0.28,0.68,0.13,0.09,0.19,0.43,0.41
Houston,29.7199489,-95.3422334,7.77,1.35,2.65,0.56,0.1,0.66,0.42,0.36
Illinois,40.1019523,-88.2271615,5.61,0.89,3.9,0.19,0.29,0.69,0.48,0.39
Indiana,39.1754487,-86.512627,8.74,1.5,3.81,0.66,0.44,1.09,0.48,0.32
Iowa,41.6627078,-91.5549771,3.69,0.56,1.75,0.19,0.25,0.19,0.41,0.33
Iowa State,42.0266573,-93.6464516,4.89,0.97,1.57,0.45,0.16,0.6,0.42,0.35
Kansas,38.9543439,-95.2557961,12.97,2.04,4.82,0.77,0.56,1.68,0.45,0.33
Kansas State,39.1974437,-96.5847249,3.76,0.75,2.35,0.35,0.26,0.46,0.55,0.42
Kentucky,38.0306511,-84.5039697,12.24,2.76,4.62,0.85,0.54,1.68,0.46,0.33
Lehigh,40.6048687,-75.3775187,18.47,3.13,3.3,0.86,0.37,1.74,0.45,0.4
Louisana-Lafayette,30.2114404,-92.0204121,10.97,6.63,4.4,1.33,0.35,2.41,0.45,0.29
Louisiana State,30.4132579,-91.1800023,8.79,3.71,3.89,1.15,0.42,1.92,0.42,0.2
Louisiana Tech,32.5282644,-92.6499298,13.97,2.26,7.33,1.27,1,1.77,0.49,0.34
Louisville,38.2122761,-85.7585023,12.53,2.24,4.56,0.87,0.49,1.42,0.47,0.3
Marquette,43.0388337,-87.9285667,13.24,2.46,4.09,1.2,0.33,1.22,0.43,0.35
